,mo_diff_ld_drc,intPayHistComp
2381,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2382,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2383,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0]"
2384,25,"[0, 0, 0, 0, -1, -1, -1]"
2385,33,"[0, 0, 0, 0, -1, -1, -1]"
2386,36,"[0, 0, -1, -1, -1]"
2387,28,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2388,2,"[0, -1, 0, -1, -1, -1]"
2389,2,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2390,6,"[0, -1, -1, -1]"
2391,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1]"
2392,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2393,-1,"[-1, -1, -1, -1, -1]"
2394,-1,"[-1, -1, -1, -1, -1]"
2395,-1,"[-1, -1, -1, -1, -1]"
2396,63,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2397,-1,"[-1, -1, -1, -1, -1]"
2398,1,"[27, 28, 0, 0, 0, -1, -1, -1]"
2399,1,"[27, 28, 0, 0, 0, 0, 0, -1, -1, -1]"
2400,1,"[27, 28, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2401,6,"[0, 0, -1, -1, -1]"
2402,7,"[0, -1, -1, -1]"
2403,7,"[0, 0, -1, -1, -1]"
2404,8,"[0, -1, -1, -1]"
2405,8,"[0, 0, -1, -1, -1]"
2406,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2407,2,"[0, 28, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2408,-1,"[-1, -1, -1, -1, -1]"
2409,2,"[-1, 0, 0, 0, 0, -1, -1, -1]"
2410,6,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2411,8,"[0, 0, 0, 0, -1, -1, -1]"
2412,14,"[0, 0, 0, -1, 0, 0, 0, 0, -1, -1, -1]"
2413,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2414,24,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 3, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2415,37,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2416,42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2417,47,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2418,48,"[0, -1, -1, -1]"
2419,55,"[0, -1, -1, -1]"
2420,63,"[0, 0, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1]"
2421,54,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2422,146,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2423,158,"[0, 0, 0, 0, 0, -1, -1, -1]"
2424,47,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2425,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2426,9,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2427,2,"[0, 0, 0, -1, -1, -1]"
2428,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 1, 0, 32, 61, 61, 33, 2, 0, 2, 1, 2, 2, 1, 0, 88, 58, 27, -1, -1, -1]"
2429,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 34, 32, 1, 0, 0, 0, 0, 34, 4, 0, 0, 4, 0, 0, 0, -1, -1, -1, -1]"
2430,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1]"
2431,33,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2432,65,"[-1, -1, -1, -1, -1]"
2433,109,"[0, -1, -1, -1, -1, -1, -1]"
2434,-1,"[-1, -1, -1, -1, -1]"
2435,2,"[40, 40, 40, 40, 11, 11, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2436,2,"[24, 24, 24, 86, 57, 26, 0, 56, 56, 57, 26, 25, 26, 25, 0, 23, 0, 26, 0, 0, 0, 0, 0]"
2437,2,"[0, 0, 0, 0, 26, 0, 25, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2438,8,"[0, 103, 72, 42, 11, 41, 11, 41, 11, 8, 11, 41, -1, -1, -1]"
2439,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 42, 41, 10, 11, 0, 0, 0, 42, 11, 0, 0, 10, 11, 0]"
2440,20,"[0, 87, 56, 57, 26, -1, -1, -1]"
2441,1,"[23, 23, 23, 27, 24, 26, 25, 25, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2442,1,"[0, 0, 0, -1, -1, -1]"
2443,19,"[0, -1, -1, 0, 0, -1, 0, -1, -1, -1]"
2444,21,"[0, 329, 300, 269, 238, 208, 177, 147, 116, 88, 57, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2445,21,"[93, 62, -1, 1, 176, 146, 115, 84, 54, 23, 24, 0, 0, 0, -1, -1, -1]"
2446,14,"[0, 70, 40, 40, 226, 256, 225, -1, 164, -1, -1, 131, 101, 70, 71, 40, 12, 73, 42, 12, 42, 43, 12, 42, 12, 0, 0, 0]"
2447,8,"[241, 211, 180, 150, 119, 88, 58, 58, 44, 0, 0, -1, -1, -1]"
2448,0,"[0, -1, -1, -1]"
2449,0,"[0, -1, -1, -1]"
2450,0,"[0, -1, -1, -1]"
2451,0,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2452,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2453,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2454,2,"[0, 0, 0, 0, 0, 0, 25, 26, 0, 0, 26, 0, 0, 0, 0, -1, -1, -1]"
2455,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2456,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 13, 0, 0, 0, 0]"
2457,21,"[0, 56, 26, 0, -1, -1, -1]"
2458,-1,"[-1, -1, -1, -1, -1]"
2459,2,"[0, -1, 0, 0, 0, 0, -1, -1, -1]"
2460,47,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2461,89,"[-1, -1, -1, -1, -1]"
2462,4,"[240, 240, 240, 240, -1, -1, -1]"
2463,4,"[240, 240, 240, 240, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 120, 90, 60, 240, 240, 240, 210, 180, 0, 120, 90, 60, 30, 30, 30, 30, 30, -1, -1, -1]"
2464,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2465,28,"[0, -1, 0, 0, 40, 10, 0, 0, 0, 0, 40, -1, -1, 60, 0, 0, 0, 0, 0, 0]"
2466,19,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2467,2,"[0, 0, 0, 0, 0, 0, -1, -1, -1]"
2468,-1,"[-1, -1, -1, -1, -1]"
2469,3,"[0, 0, -1, -1, -1]"
2470,2,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2471,6,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2472,52,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0]"
2473,-1,"[-1, -1, -1, -1, -1]"
2474,-1,"[-1, -1, -1, -1, -1]"
2475,1,"[0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0]"
2476,34,"[0, 0, 150, 120, 120, 120, 120, 90, 60, 60, 60, 60, 60, 90, 90, 90, 60, 60, 60, -1, -1, 90, -1, -1, -1, 60, -1, 60, 90, 90, 30, -1, 0, 0, -1, 0]"
2477,70,"[0, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2478,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 25, 0, 0, 0]"
2479,24,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0]"
2480,1,"[0, 0, 0, 0, 40, 11, 41, 41, 41, 10, 42, 42, 44, 43, 43, 42, 40, 43, 43, 43, 46, 79, 76, 74, 43, 12, 14, 16, 8, 15, 0, 0]"
2481,6,"[0, 0, 0, -1, -1, -1]"
2482,7,"[0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2483,23,"[0, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2484,-1,"[-1, -1, -1, -1, -1]"
2485,3,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2486,26,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2487,5,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2488,3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2489,2,"[-1, -1, -1, -1, -1, -1, -1, -1]"
2490,8,"[-1, -1, -1, -1, -1, -1, -1, -1, -1]"
2491,2,"[-1, -1, -1, -1, -1]"
2492,3,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2493,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2494,7,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2495,15,"[0, 0, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1]"
2496,13,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2497,18,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2498,29,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2499,40,"[0, 0, 0, -1, -1, -1]"
2500,42,"[0, -1, -1, -1]"
2501,47,"[0, 0, 0, 0, -1, -1, -1]"
2502,49,"[0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2503,59,"[0, 0, -1, -1, -1]"
2504,61,"[0, -1, -1, 0, -1, -1, -1]"
2505,63,"[0, -1, -1, -1]"
2506,61,"[0, -1, -1, 0, -1, -1, -1]"
2507,61,"[0, -1, -1, 0, -1, -1, -1]"
2508,17,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2509,-1,"[-1, -1, -1, -1, -1]"
2510,1,"[0, 0, -1, -1, -1]"
2511,1,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2512,67,"[276, 245, 215, 184, 154, 123, 92, 62, 31, 1, 59, 31, 3, -1, -1, -1]"
2513,5,"[91, 62, 31, 3, -1, -1, -1]"
2514,5,"[91, 62, 31, 3, 61, 3, 123, 92, 61, 31, 3, -1, -1, -1]"
2515,8,"[-1, 61, 30, 243, 212, 181, 151, 120, 90, 59, 31, -1, 3, -1, -1, -1]"
2516,15,"[0, -1, -1, -1, -1, 90, 59, 31, -1, 214, 184, 153, 123, 92, 61, 31, 3, -1, -1, -1]"
2517,20,"[-1, 184, 153, 123, 92, 61, 31, -1, 91, 60, 32, 1, -1, -1, -1]"
2518,31,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 334, 304, 273, 243, 212, 181, 151, 120, 90, 59, 31, 3]"
2519,44,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 93, 62]"
2520,44,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 215, 184]"
2521,44,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 245, 214]"
2522,48,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2523,52,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2524,53,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2525,64,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2526,73,"[-1, 243, 212, 182, 244, 216, 185, 214, 184, -1, -1, -1, -1, -1]"
2527,82,"[-1, 365, -1, -1, -1]"
2528,60,"[-1, 365, 335, 304, 274, -1, 215, -1, -1, -1]"
2529,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2530,2,"[0, 26, 0, 0, 0, 0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2531,35,"[0, -1, -1, -1, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 60, 30, 29, 30, 27, 30, 30, 29, 30, -1, 30, 30, 29, 30, 29]"
2532,13,"[0, 0, 0, 0, -1, 0, 0, 0, -1, -1, -1]"
2533,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2534,19,"[0, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2535,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2536,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2537,1,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2538,1,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2539,9,"[0, -1, -1, -1]"
2540,9,"[0, -1, -1, -1]"
2541,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2542,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2543,9,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2544,22,"[0, 0, 0, 0, -1, -1, -1]"
2545,10,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2546,21,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2547,41,"[-1, -1, -1, -1, -1, -1]"
2548,33,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2549,32,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2550,45,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2551,45,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2552,55,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2553,54,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2554,51,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2555,50,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2556,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2557,57,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2558,57,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2559,57,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2560,57,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2561,72,"[0, 0, 0, 0, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2562,79,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2563,77,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2564,68,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2565,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2566,71,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2567,92,"[0, 0, 0, -1, -1, -1]"
2568,92,"[0, 0, 0, -1, -1, -1]"
2569,97,"[0, 0, 0, -1, -1, -1]"
2570,92,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2571,92,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2572,93,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2573,98,"[0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2574,93,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2575,103,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2576,103,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2577,111,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2578,111,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2579,105,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2580,109,"[0, 0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2581,122,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2582,141,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2583,66,"[-1, 0, -1, -1, -1]"
2584,66,"[-1, 0, -1, -1, -1]"
2585,129,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2586,129,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2587,158,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2588,-1,"[-1, -1, -1, -1, -1]"
2589,31,"[-1, -1, -1, -1, -1, -1]"
2590,33,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2591,33,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2592,50,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2593,46,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2594,47,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2595,51,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2596,70,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2597,-1,"[-1, -1, -1, -1, -1]"
2598,4,"[-1, -1, -1, -1, -1, -1]"
2599,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, -1, -1, -1]"
2600,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 27, 0, 0, 0, -1, -1, -1]"
2601,6,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2602,8,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2603,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0]"
2604,16,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2605,3,"[0, 0, 0, -1, -1, -1]"
2606,1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2607,1,"[0, 28, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2608,11,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2609,8,"[-1, -1, -1, -1, -1, -1, -1]"
2610,15,"[-1, -1, -1, -1, -1, -1, -1, -1, -1]"
2611,2,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2612,3,"[0, 0, 0, -1, -1, 15, 15, 0, 0, 0, -1, -1, -1, -1, -1, 0, 0, 0, 0, 15, 0, 0, 0]"
2613,-1,"[-1, -1, -1, -1, -1]"
2614,2,"[0, 0, 0, 0, 0, 0, -1, -1, -1]"
2615,42,"[0, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, 0, 0, 0]"
2616,42,"[0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1, -1, -1, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
2617,-1,"[-1, -1, -1, -1, -1]"
2618,-1,"[-1, -1, -1, -1, -1]"
2619,2,"[25, -1, 0, -1, -1, -1]"
2620,2,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
2621,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1, -1]"
2622,33,"[0, 0, 0, 0, -1, -1, -1]"
2623,26,"[-1, -1, -1, -1, 0, 0, 0, 0, -1, 0, -1, -1, -1, -1, -1]"
2624,40,"[0, -1, -1, -1]"
2625,40,"[0, -1, -1, -1]"
2626,40,"[0, -1, -1, -1]"
2627,43,"[0, 0, -1, -1, -1]"
2628,41,"[0, 0, 0, 0, -1, -1, -1]"
2629,41,"[0, 0, 0, 0, -1, -1, -1]"
2630,41,"[0, 0, 0, 0, -1, -1, -1]"
